coditen_cli,descricao,codbarras,ncm,ex_ncm,natu_tabela,natu_codnature,cst_in,cst_out,aliq_in_pis,aliq_out_pis,aliq_in_cofins,aliq_out_cofins,conferido,cest,cst_in_icms,cst_out_icms,aliq_in_icms,aliq_out_icms,bc_dentro,bc_fora,cson
347,PRESUNTO EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
349,PAO INTEGRAL KG,,,00,,,,,,,,,0,,,,,,,,
360,BACON EXCELENCIA KG,,,00,,,,,,,,,0,,,,,,,,
362,PAO DE MEL UN,,,00,,,,,,,,,0,,,,,,,,
376,ALMEIRAO UNIDADE,,,00,,,,,,,,,0,,,,,,,,
377,AGRIAO UNIDADE,,,00,,,,,,,,,0,,,,,,,,
378,BROCOLIS UNID.,,,00,,,,,,,,,0,,,,,,,,
389,CUECA VIRADA KG,,,00,,,,,,,,,0,,,,,,,,
400,CAROLINA KG,,,00,,,,,,,,,0,,,,,,,,
401,FILE DE PEITO KG,,,00,,,,,,,,,0,,,,,,,,
408,BROA DE FUBA KG,,,00,,,,,,,,,0,,,,,,,,
431,CALABRESA KG,,,00,,,,,,,,,0,,,,,,,,
455,LINGUICA CASEIRA KG,,,00,,,,,,,,,0,,,,,,,,
461,SALAME SEARA KG,,,00,,,,,,,,,0,,,,,,,,
471,BATATA KG,,,00,,,,,,,,,0,,,,,,,,
476,LINGUICA DE FRANGO KG,,,00,,,,,,,,,0,,,,,,,,
478,DIANTEIRO BOVINO KG,,,00,,,,,,,,,0,,,,,,,,
515,GASOLINA LITRO,,,00,,,,,,,,,0,,,,,,,,
517,REQUEIJAO MILK PRATA BISNAGA 1800KG,,,00,,,,,,,,,0,,,,,,,,
521,BANANA DA TERRA KG,,,00,,,,,,,,,0,,,,,,,,
524,MACA NACIONAL KG,,,00,,,,,,,,,0,,,,,,,,
557,BANANA PRATA KG,,,00,,,,,,,,,0,,,,,,,,
559,BAGUETE KG,,,00,,,,,,,,,0,,,,,,,,
561,PAO MELAO KG,,,00,,,,,,,,,0,,,,,,,,
563,PAO DOCE KG,,,00,,,,,,,,,0,,,,,,,,
589,ABOBORA PAULISTA KG,,,00,,,,,,,,,0,,,,,,,,
594,MORT. DEFUMADA SADIA KG,,,00,,,,,,,,,0,,,,,,,,
638,TAMBACU EM POSTAS KG,,,00,,,,,,,,,0,,,,,,,,
643,CORACAO FRANGO KG,,,00,,,,,,,,,0,,,,,,,,
668,SALSICHA SADIA KG,,,00,,,,,,,,,0,,,,,,,,
670,GOIABA KG,,,00,,,,,,,,,0,,,,,,,,
697,CALDA PARA PUDIM 7KG,,,00,,,,,,,,,0,,,,,,,,
699,BOLO VILMA CHOCOLATE 5KG,,,00,,,,,,,,,0,,,,,,,,
702,SAL BRANCO UNISAL 25KG,,,00,,,,,,,,,0,,,,,,,,
715,SALSA UNIDADE,,,00,,,,,,,,,0,,,,,,,,
721,TRASEIRO BOVINO KG,,,00,,,,,,,,,0,,,,,,,,
724,BOLO CONF 4 LEITES KG,,,00,,,,,,,,,0,,,,,,,,
732,EMB PLASTICA REF PET 2L CX09,,,00,,,,,,,,,0,,,,,,,,
769,P.A BOVINO C FRAUDINHA KG,,,00,,,,,,,,,0,,,,,,,,
777,ALCOOL ETILICO HIDRATADO - ETANOL,,,00,,,,,,,,,0,,,,,,,,
778,MACA ARGENTINA KG,,,00,,,,,,,,,0,,,,,,,,
780,BOLO VILMA BAUNILHA 5KG,,,00,,,,,,,,,0,,,,,,,,
786,PRESUNTO NUTRIBRAS KG,,,00,,,,,,,,,0,,,,,,,,
787,PEITO DE PERU SADIA VC KG,,,00,,,,,,,,,0,,,,,,,,
927,FRANGO DEFUMADO PERDIGAO KG,,,00,,,,,,,,,0,,,,,,,,
974,PIMENTAO COLORIDO KG,,,00,,,,,,,,,0,,,,,,,,
979,BOLO VILMA BANANA 5KG,,,00,,,,,,,,,0,,,,,,,,
999,CHIPA RECHEADA KG,,,00,,,,,,,,,0,,,,,,,,
1000,GELO EM CUBO PINGUS GELO 4KG,,,00,,,,,,,,,0,,,,,,,,
1064,BISC.OURO BRANCO/PRETO KG,,,00,,,,,,,,,0,,,,,,,,
1248,VASIL UNIVERSAL REF PET 2L,,,00,,,,,,,,,0,,,,,,,,
1262,SUPERCOCO COCO RALADO MEDIO 5KG,,,00,,,,,,,,,0,,,,,,,,
1355,USO E CONSUMO,,,00,,,,,,,,,0,,,,,,,,
1370,DAJUDA MAIONESE 3 KG,,,00,,,,,,,,,0,,,,,,,,
1395,BOLO NINHO CREMOSO KG,,,00,,,,,,,,,0,,,,,,,,
1452,AGUA PURISSIMA 20L,,,00,,,,,,,,,0,,,,,,,,
1467,PE DE FRANGO KG,,,00,,,,,,,,,0,,,,,,,,
1580,BISC SEQUILHO KG,,,00,,,,,,,,,0,,,,,,,,
1582,CREME CONF LEITE CONDENSADO 5KG,,,00,,,,,,,,,0,,,,,,,,
1674,CEBOLA ROXA KG,,,00,,,,,,,,,0,,,,,,,,
1760,MAVALERIO GANACHE CHOCOLATE 4KG 9401,,,00,,,,,,,,,0,,,,,,,,
1775,OLEO DISEL LITRO,,,00,,,,,,,,,0,,,,,,,,
1790,COENTRO UNIDADE,,,00,,,,,,,,,0,,,,,,,,
